body;x-coordinate;y-coordinate;z-coordinate
saturn;8.2189;4.34227;-0.402359
uranus;13.0238;-15.0063;-0.224599
neptune;15.497;-25.8477;0.175086
sun;-3.57705e-05;-0.000428224;2.76902e-06
jupiter;4.90608;-0.791708;-0.106596
saturn;8.20827;4.36026;-0.40225
uranus;13.0345;-14.9975;-0.224706
neptune;15.5068;-25.8417;0.174738
sun;-3.73899e-05;-0.00046132;2.95537e-06
jupiter;4.90996;-0.76315;-0.106801
saturn;8.19759;4.37822;-0.402138
uranus;13.0453;-14.9887;-0.224812
neptune;15.5165;-25.8357;0.17439
sun;-3.88467e-05;-0.000494434;3.13787e-06
jupiter;4.91367;-0.734567;-0.107002
saturn;8.18688;4.39617;-0.402024
uranus;13.056;-14.9799;-0.224919
neptune;15.5263;-25.8297;0.174042
sun;-4.01406e-05;-0.000527565;3.31652e-06
jupiter;4.91723;-0.70596;-0.1072
saturn;8.17612;4.41409;-0.401908
uranus;13.0667;-14.9711;-0.225025
neptune;15.536;-25.8237;0.173694
sun;-4.12716e-05;-0.000560712;3.49131e-06
jupiter;4.92063;-0.677331;-0.107395
saturn;8.16532;4.43199;-0.40179
uranus;13.0774;-14.9623;-0.225132
neptune;15.5458;-25.8176;0.173346
sun;-4.22394e-05;-0.000593874;3.66223e-06
jupiter;4.92388;-0.64868;-0.107586
saturn;8.15449;4.44987;-0.401671
uranus;13.0882;-14.9535;-0.225238
neptune;15.5556;-25.8116;0.172998
sun;-4.3044e-05;-0.00062705;3.82928e-06
jupiter;4.92696;-0.620008;-0.107774
saturn;8.14361;4.46772;-0.401549
uranus;13.0989;-14.9447;-0.225344
neptune;15.5653;-25.8056;0.17265
sun;-4.36852e-05;-0.000660239;3.99244e-06
jupiter;4.92988;-0.591316;-0.107958
saturn;8.1327;4.48556;-0.401425
uranus;13.1096;-14.9358;-0.22545
neptune;15.575;-25.7996;0.172302
sun;-4.41629e-05;-0.000693441;4.15171e-06
jupiter;4.93265;-0.562605;-0.108139
saturn;8.12174;4.50337;-0.4013
uranus;13.1202;-14.927;-0.225556
neptune;15.5848;-25.7936;0.171954
sun;-4.44769e-05;-0.000726654;4.30709e-06
jupiter;4.93526;-0.533876;-0.108317
saturn;8.11074;4.52116;-0.401172
uranus;13.1309;-14.9181;-0.225662
neptune;15.5945;-25.7875;0.171606
sun;-4.46271e-05;-0.000759878;4.45856e-06
jupiter;4.93771;-0.50513;-0.10849
saturn;8.09971;4.53893;-0.401042
uranus;13.1416;-14.9093;-0.225768
neptune;15.6043;-25.7815;0.171258
sun;-4.46135e-05;-0.000793112;4.60612e-06
jupiter;4.93999;-0.476367;-0.108661
saturn;8.08863;4.55667;-0.400911
uranus;13.1523;-14.9004;-0.225874
neptune;15.614;-25.7755;0.17091
sun;-4.44358e-05;-0.000826354;4.74977e-06
jupiter;4.94212;-0.447589;-0.108828
saturn;8.07751;4.57439;-0.400777
uranus;13.1629;-14.8915;-0.225979
neptune;15.6237;-25.7694;0.170561
sun;-4.4094e-05;-0.000859604;4.88949e-06
jupiter;4.94409;-0.418797;-0.108991
saturn;8.06636;4.59209;-0.400642
uranus;13.1736;-14.8826;-0.226084
neptune;15.6335;-25.7634;0.170213
sun;-4.3588e-05;-0.000892861;5.02529e-06
jupiter;4.9459;-0.389991;-0.109151
saturn;8.05516;4.60977;-0.400504
uranus;13.1842;-14.8737;-0.22619
neptune;15.6432;-25.7573;0.169865
sun;-4.29177e-05;-0.000926124;5.15715e-06
jupiter;4.94755;-0.361173;-0.109307
saturn;8.04393;4.62743;-0.400365
uranus;13.1949;-14.8648;-0.226295
neptune;15.6529;-25.7513;0.169517
sun;-4.20831e-05;-0.000959393;5.28507e-06
jupiter;4.94905;-0.332342;-0.10946
saturn;8.03265;4.64506;-0.400223
uranus;13.2055;-14.8559;-0.2264
neptune;15.6627;-25.7452;0.169168
sun;-4.10839e-05;-0.000992665;5.40905e-06
jupiter;4.95038;-0.303501;-0.109609
saturn;8.02134;4.66267;-0.40008
uranus;13.2162;-14.847;-0.226505
neptune;15.6724;-25.7392;0.16882
sun;-3.99202e-05;-0.00102594;5.52907e-06
jupiter;4.95155;-0.274651;-0.109755
saturn;8.00998;4.68025;-0.399934
uranus;13.2268;-14.8381;-0.22661
neptune;15.6821;-25.7331;0.168472
sun;-3.85919e-05;-0.00105922;5.64514e-06
jupiter;4.95256;-0.245791;-0.109897
saturn;7.99859;4.69781;-0.399787
uranus;13.2374;-14.8292;-0.226714
neptune;15.6918;-25.727;0.168123
sun;-3.70989e-05;-0.0010925;5.75724e-06
jupiter;4.95341;-0.216923;-0.110035
saturn;7.98716;4.71535;-0.399637
uranus;13.248;-14.8202;-0.226819
neptune;15.7015;-25.721;0.167775
sun;-3.54411e-05;-0.00112578;5.86538e-06
jupiter;4.9541;-0.188049;-0.11017
saturn;7.97568;4.73287;-0.399486
uranus;13.2586;-14.8113;-0.226923
neptune;15.7113;-25.7149;0.167427
sun;-3.36186e-05;-0.00115906;5.96954e-06
jupiter;4.95463;-0.159168;-0.110302
saturn;7.96417;4.75036;-0.399333
uranus;13.2692;-14.8023;-0.227028
neptune;15.721;-25.7088;0.167078
sun;-3.16312e-05;-0.00119234;6.06973e-06
jupiter;4.955;-0.130282;-0.11043
saturn;7.95262;4.76783;-0.399177
uranus;13.2798;-14.7934;-0.227132
neptune;15.7307;-25.7027;0.16673
sun;-2.94789e-05;-0.00122561;6.16593e-06
jupiter;4.9552;-0.101392;-0.110554
saturn;7.94103;4.78527;-0.39902
uranus;13.2904;-14.7844;-0.227236
neptune;15.7404;-25.6967;0.166381
sun;-2.71617e-05;-0.00125889;6.25814e-06
jupiter;4.95525;-0.0724988;-0.110675
saturn;7.9294;4.80269;-0.398861
uranus;13.301;-14.7754;-0.22734
neptune;15.7501;-25.6906;0.166033
sun;-2.46795e-05;-0.00129215;6.34636e-06
jupiter;4.95514;-0.0436032;-0.110792
saturn;7.91773;4.82009;-0.3987
uranus;13.3115;-14.7665;-0.227444
neptune;15.7598;-25.6845;0.165684
sun;-2.20324e-05;-0.00132542;6.43059e-06
jupiter;4.95487;-0.0147061;-0.110905
saturn;7.90602;4.83747;-0.398536
uranus;13.3221;-14.7575;-0.227548
neptune;15.7695;-25.6784;0.165336
sun;-1.92202e-05;-0.00135868;6.51081e-06
jupiter;4.95443;0.0141914;-0.111015
saturn;7.89428;4.85481;-0.398371
uranus;13.3327;-14.7485;-0.227651
neptune;15.7792;-25.6723;0.164987
sun;-1.62431e-05;-0.00139193;6.58703e-06
jupiter;4.95384;0.0430885;-0.111122
saturn;7.88249;4.87214;-0.398204
uranus;13.3432;-14.7395;-0.227755
neptune;15.7889;-25.6662;0.164638
sun;-1.31009e-05;-0.00142517;6.65924e-06
jupiter;4.95308;0.0719841;-0.111224
saturn;7.87066;4.88944;-0.398035
uranus;13.3538;-14.7305;-0.227858
neptune;15.7986;-25.6601;0.16429
sun;-9.79373e-06;-0.00145841;6.72744e-06
jupiter;4.95217;0.100877;-0.111323
saturn;7.8588;4.90672;-0.397864
uranus;13.3643;-14.7214;-0.227962
neptune;15.8083;-25.654;0.163941
sun;-6.32152e-06;-0.00149163;6.79162e-06
jupiter;4.95109;0.129767;-0.111419
saturn;7.84689;4.92397;-0.397691
uranus;13.3748;-14.7124;-0.228065
neptune;15.818;-25.6478;0.163592
sun;-2.68431e-06;-0.00152485;6.85178e-06
jupiter;4.94985;0.158653;-0.111511
saturn;7.83495;4.9412;-0.397516
uranus;13.3853;-14.7034;-0.228168
neptune;15.8277;-25.6417;0.163244
sun;1.11789e-06;-0.00155805;6.90791e-06
jupiter;4.94845;0.187534;-0.111599
saturn;7.82297;4.9584;-0.397338
uranus;13.3959;-14.6943;-0.228271
neptune;15.8373;-25.6356;0.162895
sun;5.08506e-06;-0.00159124;6.96002e-06
jupiter;4.9469;0.216408;-0.111684
saturn;7.81095;4.97558;-0.397159
uranus;13.4064;-14.6853;-0.228374
neptune;15.847;-25.6295;0.162546
sun;9.21717e-06;-0.00162442;7.00809e-06
jupiter;4.94518;0.245276;-0.111765
saturn;7.79889;4.99273;-0.396978
uranus;13.4169;-14.6762;-0.228477
neptune;15.8567;-25.6233;0.162198
sun;1.35142e-05;-0.00165758;7.05213e-06
jupiter;4.9433;0.274135;-0.111842
saturn;7.78679;5.00986;-0.396795
uranus;13.4274;-14.6672;-0.228579
neptune;15.8664;-25.6172;0.161849
sun;1.79761e-05;-0.00169073;7.09213e-06
jupiter;4.94125;0.302985;-0.111916
saturn;7.77466;5.02697;-0.396611
uranus;13.4379;-14.6581;-0.228682
neptune;15.8761;-25.6111;0.1615
sun;2.26028e-05;-0.00172386;7.12809e-06
jupiter;4.93905;0.331826;-0.111986
saturn;7.76248;5.04405;-0.396424
uranus;13.4483;-14.649;-0.228784
neptune;15.8857;-25.6049;0.161151
sun;2.73943e-05;-0.00175698;7.16001e-06
jupiter;4.93669;0.360656;-0.112053
saturn;7.75027;5.0611;-0.396235
uranus;13.4588;-14.6399;-0.228887
neptune;15.8954;-25.5988;0.160802
sun;3.23505e-05;-0.00179007;7.18788e-06
jupiter;4.93417;0.389474;-0.112115
saturn;7.73802;5.07813;-0.396044
uranus;13.4693;-14.6309;-0.228989
neptune;15.9051;-25.5926;0.160453
sun;3.74714e-05;-0.00182315;7.21171e-06
jupiter;4.93149;0.418279;-0.112175
saturn;7.72572;5.09513;-0.395851
uranus;13.4798;-14.6218;-0.229091
neptune;15.9147;-25.5865;0.160104
sun;4.27568e-05;-0.00185621;7.23148e-06
jupiter;4.92864;0.447071;-0.11223
saturn;7.7134;5.11211;-0.395656
uranus;13.4902;-14.6127;-0.229193
neptune;15.9244;-25.5803;0.159755
sun;4.82068e-05;-0.00188925;7.2472e-06
jupiter;4.92564;0.475848;-0.112282
saturn;7.70103;5.12906;-0.395459
uranus;13.5007;-14.6035;-0.229295
neptune;15.9341;-25.5742;0.159406
sun;5.38211e-05;-0.00192226;7.25886e-06
jupiter;4.92247;0.50461;-0.11233
saturn;7.68862;5.14599;-0.395261
uranus;13.5111;-14.5944;-0.229396
neptune;15.9437;-25.568;0.159058
sun;5.95999e-05;-0.00195526;7.26647e-06
jupiter;4.91915;0.533355;-0.112375
saturn;7.67618;5.16289;-0.39506
uranus;13.5215;-14.5853;-0.229498
neptune;15.9534;-25.5618;0.158708
sun;6.55429e-05;-0.00198823;7.27002e-06
jupiter;4.91566;0.562083;-0.112416
saturn;7.6637;5.17977;-0.394857
uranus;13.532;-14.5762;-0.229599
neptune;15.963;-25.5557;0.158359
sun;7.165e-05;-0.00202117;7.2695e-06
jupiter;4.91202;0.590792;-0.112453
saturn;7.65118;5.19661;-0.394653
uranus;13.5424;-14.567;-0.229701
neptune;15.9727;-25.5495;0.15801
sun;7.79212e-05;-0.00205409;7.26493e-06
jupiter;4.90821;0.619482;-0.112487
saturn;7.63862;5.21344;-0.394446
uranus;13.5528;-14.5579;-0.229802
neptune;15.9823;-25.5433;0.157661
sun;8.43564e-05;-0.00208699;7.25629e-06
jupiter;4.90425;0.648152;-0.112517
saturn;7.62602;5.23024;-0.394237
uranus;13.5632;-14.5487;-0.229903
neptune;15.992;-25.5371;0.157312
sun;9.09554e-05;-0.00211986;7.24358e-06
jupiter;4.90012;0.676801;-0.112543
saturn;7.61339;5.24701;-0.394027
uranus;13.5736;-14.5395;-0.230004
neptune;16.0016;-25.531;0.156963
sun;9.7718e-05;-0.0021527;7.22681e-06
jupiter;4.89584;0.705428;-0.112566
saturn;7.60071;5.26375;-0.393814
uranus;13.584;-14.5304;-0.230105
neptune;16.0113;-25.5248;0.156614
sun;0.000104644;-0.00218551;7.20597e-06
jupiter;4.8914;0.734031;-0.112585
saturn;7.588;5.28047;-0.3936
uranus;13.5944;-14.5212;-0.230206
neptune;16.0209;-25.5186;0.156265
sun;0.000111734;-0.00221829;7.18106e-06
jupiter;4.88679;0.762611;-0.1126
saturn;7.57525;5.29716;-0.393383
uranus;13.6048;-14.512;-0.230307
neptune;16.0306;-25.5124;0.155916
sun;0.000118987;-0.00225103;7.15209e-06
jupiter;4.88203;0.791166;-0.112611
saturn;7.56247;5.31383;-0.393165
uranus;13.6152;-14.5028;-0.230407
neptune;16.0402;-25.5062;0.155566
sun;0.000126403;-0.00228375;7.11904e-06
jupiter;4.87711;0.819695;-0.112619
saturn;7.54964;5.33047;-0.392944
uranus;13.6255;-14.4936;-0.230508
neptune;16.0498;-25.5;0.155217
sun;0.000133982;-0.00231644;7.08192e-06
jupiter;4.87203;0.848197;-0.112624
saturn;7.53678;5.34708;-0.392722
uranus;13.6359;-14.4844;-0.230608
neptune;16.0595;-25.4938;0.154868
sun;0.000141725;-0.00234909;7.04073e-06
jupiter;4.86679;0.876671;-0.112624
saturn;7.52388;5.36367;-0.392498
uranus;13.6462;-14.4752;-0.230708
neptune;16.0691;-25.4876;0.154519
sun;0.000149629;-0.0023817;6.99547e-06
jupiter;4.86139;0.905117;-0.112621
saturn;7.51094;5.38022;-0.392271
uranus;13.6566;-14.466;-0.230808
neptune;16.0787;-25.4813;0.154169
sun;0.000157697;-0.00241429;6.94614e-06
jupiter;4.85584;0.933534;-0.112615
saturn;7.49797;5.39676;-0.392043
uranus;13.6669;-14.4567;-0.230908
neptune;16.0883;-25.4751;0.15382
sun;0.000165926;-0.00244683;6.89274e-06
jupiter;4.85012;0.961919;-0.112604
saturn;7.48496;5.41326;-0.391813
uranus;13.6773;-14.4475;-0.231008
neptune;16.098;-25.4689;0.153471
sun;0.000174318;-0.00247934;6.83527e-06
jupiter;4.84425;0.990274;-0.11259
saturn;7.47191;5.42974;-0.39158
uranus;13.6876;-14.4382;-0.231108
neptune;16.1076;-25.4627;0.153121
sun;0.000182872;-0.00251181;6.77372e-06
jupiter;4.83822;1.0186;-0.112572
saturn;7.45882;5.44619;-0.391346
uranus;13.6979;-14.429;-0.231208
neptune;16.1172;-25.4564;0.152772
sun;0.000191588;-0.00254424;6.70811e-06
jupiter;4.83203;1.04688;-0.112551
saturn;7.4457;5.46261;-0.39111
uranus;13.7082;-14.4197;-0.231307
neptune;16.1268;-25.4502;0.152422
sun;0.000200465;-0.00257663;6.63843e-06
jupiter;4.82568;1.07514;-0.112526
saturn;7.43254;5.47901;-0.390872
uranus;13.7185;-14.4105;-0.231406
neptune;16.1364;-25.444;0.152073
sun;0.000209504;-0.00260898;6.56467e-06
jupiter;4.81918;1.10336;-0.112497
saturn;7.41934;5.49537;-0.390632
uranus;13.7288;-14.4012;-0.231506
neptune;16.146;-25.4377;0.151724
sun;0.000218703;-0.00264128;6.48685e-06
jupiter;4.81252;1.13154;-0.112465
saturn;7.4061;5.51172;-0.39039
uranus;13.7391;-14.3919;-0.231605
neptune;16.1557;-25.4315;0.151374
sun;0.000228064;-0.00267355;6.40496e-06
jupiter;4.8057;1.15969;-0.112428
saturn;7.39283;5.52803;-0.390146
uranus;13.7494;-14.3826;-0.231704
neptune;16.1653;-25.4252;0.151025
sun;0.000237586;-0.00270577;6.31901e-06
jupiter;4.79872;1.1878;-0.112389
saturn;7.37952;5.54431;-0.3899
uranus;13.7597;-14.3733;-0.231803
neptune;16.1749;-25.419;0.150675
sun;0.000247268;-0.00273795;6.22899e-06
jupiter;4.79159;1.21587;-0.112345
saturn;7.36617;5.56057;-0.389652
uranus;13.77;-14.364;-0.231902
neptune;16.1845;-25.4127;0.150326
sun;0.00025711;-0.00277008;6.13491e-06
jupiter;4.7843;1.2439;-0.112298
saturn;7.35279;5.5768;-0.389402
uranus;13.7802;-14.3547;-0.232
neptune;16.1941;-25.4065;0.149976
sun;0.000267113;-0.00280216;6.03676e-06
jupiter;4.77686;1.27189;-0.112247
saturn;7.33937;5.593;-0.38915
uranus;13.7905;-14.3454;-0.232099
neptune;16.2037;-25.4002;0.149626
sun;0.000277275;-0.0028342;5.93456e-06
jupiter;4.76926;1.29983;-0.112193
saturn;7.32591;5.60917;-0.388897
uranus;13.8007;-14.3361;-0.232198
neptune;16.2133;-25.394;0.149277
sun;0.000287597;-0.00286619;5.82829e-06
jupiter;4.7615;1.32774;-0.112135
saturn;7.31241;5.62532;-0.388641
uranus;13.811;-14.3267;-0.232296
neptune;16.2228;-25.3877;0.148927
sun;0.000298078;-0.00289813;5.71797e-06
jupiter;4.75359;1.3556;-0.112073
saturn;7.29888;5.64143;-0.388383
uranus;13.8212;-14.3174;-0.232394
neptune;16.2324;-25.3814;0.148578
sun;0.000308719;-0.00293002;5.6036e-06
jupiter;4.74552;1.38342;-0.112008
saturn;7.28531;5.65752;-0.388124
uranus;13.8314;-14.308;-0.232492
neptune;16.242;-25.3751;0.148228
sun;0.000319518;-0.00296186;5.48517e-06
jupiter;4.7373;1.41119;-0.111939
saturn;7.27171;5.67358;-0.387862
uranus;13.8417;-14.2987;-0.23259
neptune;16.2516;-25.3689;0.147878
sun;0.000330475;-0.00299365;5.36269e-06
jupiter;4.72892;1.43892;-0.111866
saturn;7.25807;5.68961;-0.387598
uranus;13.8519;-14.2893;-0.232688
neptune;16.2612;-25.3626;0.147528
sun;0.000341591;-0.00302538;5.23616e-06
jupiter;4.72039;1.46659;-0.11179
saturn;7.24439;5.70561;-0.387333
uranus;13.8621;-14.28;-0.232786
neptune;16.2708;-25.3563;0.147179
sun;0.000352865;-0.00305707;5.10559e-06
jupiter;4.71171;1.49423;-0.11171
saturn;7.23068;5.72158;-0.387065
uranus;13.8723;-14.2706;-0.232884
neptune;16.2804;-25.35;0.146829
sun;0.000364297;-0.00308869;4.97098e-06
jupiter;4.70287;1.52181;-0.111626
saturn;7.21693;5.73753;-0.386796
uranus;13.8825;-14.2612;-0.232981
neptune;16.2899;-25.3437;0.146479
sun;0.000375886;-0.00312027;4.83233e-06
jupiter;4.69388;1.54934;-0.111539
saturn;7.20314;5.75344;-0.386525
uranus;13.8927;-14.2518;-0.233079
neptune;16.2995;-25.3374;0.146129
sun;0.000387632;-0.00315178;4.68964e-06
jupiter;4.68473;1.57682;-0.111448
saturn;7.18932;5.76933;-0.386251
uranus;13.9029;-14.2424;-0.233176
neptune;16.3091;-25.3311;0.14578
sun;0.000399534;-0.00318324;4.54292e-06
jupiter;4.67544;1.60425;-0.111353
saturn;7.17546;5.78519;-0.385976
uranus;13.913;-14.233;-0.233273
neptune;16.3186;-25.3248;0.14543
sun;0.000411594;-0.00321464;4.39217e-06
jupiter;4.66598;1.63163;-0.111255
saturn;7.16156;5.80102;-0.385699
uranus;13.9232;-14.2236;-0.23337
neptune;16.3282;-25.3185;0.14508
sun;0.000423809;-0.00324598;4.23739e-06
jupiter;4.65638;1.65895;-0.111153
saturn;7.14763;5.81681;-0.38542
uranus;13.9334;-14.2142;-0.233467
neptune;16.3378;-25.3122;0.14473
sun;0.00043618;-0.00327727;4.07859e-06
jupiter;4.64663;1.68622;-0.111048
saturn;7.13366;5.83258;-0.385139
uranus;13.9435;-14.2048;-0.233564
neptune;16.3473;-25.3058;0.14438
sun;0.000448707;-0.00330849;3.91577e-06
jupiter;4.63672;1.71344;-0.110939
saturn;7.11966;5.84832;-0.384856
uranus;13.9537;-14.1953;-0.233661
neptune;16.3569;-25.2995;0.14403
sun;0.000461389;-0.00333965;3.74893e-06
jupiter;4.62666;1.7406;-0.110826
saturn;7.10562;5.86403;-0.384571
uranus;13.9638;-14.1859;-0.233757
neptune;16.3665;-25.2932;0.14368
sun;0.000474226;-0.00337075;3.57808e-06
jupiter;4.61645;1.7677;-0.11071
saturn;7.09155;5.87971;-0.384284
uranus;13.9739;-14.1765;-0.233854
neptune;16.376;-25.2869;0.14333
sun;0.000487217;-0.00340178;3.40322e-06
jupiter;4.60609;1.79475;-0.11059
saturn;7.07744;5.89536;-0.383995
uranus;13.9841;-14.167;-0.23395
neptune;16.3856;-25.2805;0.14298
sun;0.000500363;-0.00343275;3.22436e-06
jupiter;4.59558;1.82173;-0.110466
saturn;7.06329;5.91099;-0.383704
uranus;13.9942;-14.1575;-0.234046
neptune;16.3951;-25.2742;0.14263
sun;0.000513662;-0.00346366;3.04151e-06
jupiter;4.58492;1.84866;-0.110339
saturn;7.04911;5.92658;-0.383411
uranus;14.0043;-14.1481;-0.234143
neptune;16.4047;-25.2679;0.14228
sun;0.000527114;-0.0034945;2.85465e-06
jupiter;4.57411;1.87552;-0.110208
saturn;7.03489;5.94214;-0.383116
uranus;14.0144;-14.1386;-0.234239
neptune;16.4142;-25.2615;0.14193
sun;0.00054072;-0.00352527;2.66381e-06
jupiter;4.56315;1.90233;-0.110074
saturn;7.02064;5.95767;-0.38282
uranus;14.0245;-14.1291;-0.234335
neptune;16.4237;-25.2552;0.14158
sun;0.000554479;-0.00355598;2.46898e-06
jupiter;4.55205;1.92907;-0.109936
saturn;7.00635;5.97317;-0.382521
uranus;14.0346;-14.1196;-0.23443
neptune;16.4333;-25.2488;0.14123
sun;0.000568389;-0.00358662;2.27017e-06
jupiter;4.54079;1.95575;-0.109795
saturn;6.99202;5.98864;-0.382221
uranus;14.0447;-14.1101;-0.234526
neptune;16.4428;-25.2425;0.14088
sun;0.000582452;-0.00361719;2.06739e-06
jupiter;4.52939;1.98237;-0.109649
saturn;6.97766;6.00408;-0.381918
uranus;14.0547;-14.1006;-0.234622
neptune;16.4524;-25.2361;0.14053
sun;0.000596666;-0.00364769;1.86063e-06
jupiter;4.51784;2.00892;-0.109501
saturn;6.96327;6.01949;-0.381614
uranus;14.0648;-14.0911;-0.234717
neptune;16.4619;-25.2297;0.140179
sun;0.000611032;-0.00367811;1.64991e-06
jupiter;4.50614;2.0354;-0.109349
saturn;6.94884;6.03487;-0.381307
uranus;14.0749;-14.0816;-0.234812
neptune;16.4714;-25.2234;0.139829
sun;0.000625548;-0.00370847;1.43524e-06
jupiter;4.49429;2.06182;-0.109193
saturn;6.93437;6.05022;-0.380999
uranus;14.0849;-14.0721;-0.234907
neptune;16.481;-25.217;0.139479
sun;0.000640214;-0.00373875;1.2166e-06
jupiter;4.4823;2.08817;-0.109033
saturn;6.91987;6.06553;-0.380689
uranus;14.095;-14.0625;-0.235003
neptune;16.4905;-25.2106;0.139129
sun;0.000655031;-0.00376896;9.94021e-07
jupiter;4.47016;2.11446;-0.108871
saturn;6.90534;6.08082;-0.380377
uranus;14.105;-14.053;-0.235098
neptune;16.5;-25.2043;0.138779
sun;0.000669997;-0.0037991;7.67496e-07
jupiter;4.45787;2.14067;-0.108704
saturn;6.89077;6.09608;-0.380063
uranus;14.115;-14.0435;-0.235192
neptune;16.5095;-25.1979;0.138428
sun;0.000685112;-0.00382916;5.37036e-07
jupiter;4.44544;2.16681;-0.108534
saturn;6.87616;6.1113;-0.379747
uranus;14.1251;-14.0339;-0.235287
neptune;16.519;-25.1915;0.138078
sun;0.000700376;-0.00385915;3.02644e-07
jupiter;4.43287;2.19289;-0.108361
saturn;6.86152;6.12649;-0.379429
uranus;14.1351;-14.0244;-0.235382
neptune;16.5286;-25.1851;0.137728
sun;0.000715788;-0.00388905;6.4328e-08
jupiter;4.42015;2.21889;-0.108184
saturn;6.84685;6.14166;-0.379109
uranus;14.1451;-14.0148;-0.235476
neptune;16.5381;-25.1787;0.137377
sun;0.000731348;-0.00391889;-1.77906e-07
jupiter;4.40729;2.24482;-0.108003
saturn;6.83214;6.15679;-0.378787
uranus;14.1551;-14.0052;-0.235571
neptune;16.5476;-25.1723;0.137027
sun;0.000747055;-0.00394864;-4.24052e-07
jupiter;4.39428;2.27068;-0.107819
saturn;6.81739;6.17189;-0.378463
uranus;14.1651;-13.9956;-0.235665
neptune;16.5571;-25.1659;0.136677
sun;0.000762909;-0.00397831;-6.74104e-07
jupiter;4.38113;2.29646;-0.107631
saturn;6.80261;6.18696;-0.378138
uranus;14.1751;-13.986;-0.235759
neptune;16.5666;-25.1595;0.136326
sun;0.00077891;-0.0040079;-9.28053e-07
jupiter;4.36784;2.32217;-0.10744
saturn;6.7878;6.20199;-0.37781
uranus;14.1851;-13.9764;-0.235853
neptune;16.5761;-25.1531;0.135976
sun;0.000795057;-0.00403742;-1.18589e-06
jupiter;4.3544;2.3478;-0.107246
saturn;6.77295;6.217;-0.377481
uranus;14.1951;-13.9668;-0.235947
neptune;16.5856;-25.1467;0.135626
sun;0.000811349;-0.00406685;-1.44762e-06
jupiter;4.34083;2.37335;-0.107048
saturn;6.75807;6.23197;-0.377149
uranus;14.205;-13.9572;-0.236041
neptune;16.5951;-25.1403;0.135275
sun;0.000827787;-0.0040962;-1.71322e-06
jupiter;4.32711;2.39883;-0.106846
saturn;6.74315;6.24692;-0.376816
uranus;14.215;-13.9476;-0.236134
neptune;16.6046;-25.1339;0.134925
sun;0.000844369;-0.00412546;-1.9827e-06
jupiter;4.31325;2.42423;-0.106641
saturn;6.7282;6.26183;-0.376481
uranus;14.225;-13.938;-0.236228
neptune;16.6141;-25.1275;0.134574
sun;0.000861095;-0.00415464;-2.25604e-06
jupiter;4.29925;2.44955;-0.106432
saturn;6.71322;6.27671;-0.376144
uranus;14.2349;-13.9284;-0.236321
neptune;16.6236;-25.1211;0.134224
sun;0.000877965;-0.00418374;-2.53323e-06
jupiter;4.28512;2.47479;-0.10622
saturn;6.6982;6.29155;-0.375804
uranus;14.2448;-13.9187;-0.236415
neptune;16.6331;-25.1146;0.133873
